full_part_number,section,subsection,position_details
Eno digitVFS25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(25): Configuration 25
Eno digitVFS37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(37): Configuration 37
Eno digitVFS50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(50): Configuration 50
Eno digitVFMP09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(09): Configuration 09
Eno digitVFMP15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(15): Configuration 15
Eno digitVFMP25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(25): Configuration 25
Eno digitVFMP37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(37): Configuration 37
Eno digitVFMP50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(50): Configuration 50
Eno digitVFMS09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(09): Configuration 09
Eno digitVFMS15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(15): Configuration 15
Eno digitVFMS25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(25): Configuration 25
Eno digitVFMS37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(37): Configuration 37
Eno digitVFMS50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(50): Configuration 50
EFVFP09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(09): Configuration 09
EFVFP15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(15): Configuration 15
EFVFP25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(25): Configuration 25
EFVFP37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(37): Configuration 37
EFVFP50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(50): Configuration 50
EFVFS09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(09): Configuration 09
EFVFS15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(15): Configuration 15
EFVFS25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(25): Configuration 25
EFVFS37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(37): Configuration 37
EFVFS50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(50): Configuration 50
EFVFMP09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(09): Configuration 09
EFVFMP15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(15): Configuration 15
EFVFMP25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(25): Configuration 25
EFVFMP37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(37): Configuration 37
EFVFMP50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(F): Float mounting | Pos4(VFM): Front screwlock M3 | Pos5(P): Pin | Pos6(50): Configuration 50
