full_part_number,section,subsection,position_details
0922011,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(2): 0.76 µm (30µ"") | Pos6(0): 3.10mm clear hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0922101,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(2): 0.76 µm (30µ"") | Pos6(1): #4-40 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0922111,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(2): 0.76 µm (30µ"") | Pos6(1): #4-40 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0922201,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(2): 0.76 µm (30µ"") | Pos6(2): #4-40 UNC screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0922211,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(2): 0.76 µm (30µ"") | Pos6(2): #4-40 UNC screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0922401,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(2): 0.76 µm (30µ"") | Pos6(4): M3 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0922411,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(2): 0.76 µm (30µ"") | Pos6(4): M3 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0922501,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(2): 0.76 µm (30µ"") | Pos6(5): M3 screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0922511,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(2): 0.76 µm (30µ"") | Pos6(5): M3 screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1510001,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(0): 3.10mm clear hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
1510011,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(0): 3.10mm clear hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
1510101,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(1): #4-40 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
1510111,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(1): #4-40 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
1510201,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(2): #4-40 UNC screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
1510211,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(2): #4-40 UNC screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel
1510401,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(4): M3 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
1510411,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(4): M3 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel
1510501,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(5): M3 screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
1510511,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(0): Gold flash | Pos6(5): M3 screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel
1511001,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(1): 0.4 µm (15µ"") | Pos6(0): 3.10mm clear hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
1511011,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(1): 0.4 µm (15µ"") | Pos6(0): 3.10mm clear hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1511101,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(1): 0.4 µm (15µ"") | Pos6(1): #4-40 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
1511111,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(1): 0.4 µm (15µ"") | Pos6(1): #4-40 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1511201,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(1): 0.4 µm (15µ"") | Pos6(2): #4-40 UNC screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
1511211,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(1): 0.4 µm (15µ"") | Pos6(2): #4-40 UNC screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1511401,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(1): 0.4 µm (15µ"") | Pos6(4): M3 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
1511411,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(1): 0.4 µm (15µ"") | Pos6(4): M3 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1511501,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(1): 0.4 µm (15µ"") | Pos6(5): M3 screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
1511511,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(1): 0.4 µm (15µ"") | Pos6(5): M3 screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1512001,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(0): 3.10mm clear hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
1512011,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(0): 3.10mm clear hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1512101,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(1): #4-40 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
1512111,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(1): #4-40 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
1512201,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(15): 15 contacts | Pos4(1): Pin | Pos5(2): 0.76 µm (30µ"") | Pos6(2): #4-40 UNC screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
