full_part_number,section,subsection,position_details
4R21,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(1): 4-40 rear insert"
4R22,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(2): M3 rear insert"
4R23,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(3): M3 front screwlock"
4R24,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(4): Fixed M3 front screwlock"
4R25,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(5): 4-40 front screwlock"
4R26,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(2): 0.4μm Au (15μ"") | Pos8(6): Fixed 4-40 front screwlock"
4R41,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(1): 4-40 rear insert"
4R42,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(2): M3 rear insert"
4R43,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(3): M3 front screwlock"
4R44,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(4): Fixed M3 front screwlock"
4R45,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(5): 4-40 front screwlock"
4R46,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(R): Reel (100 / reel, 9 Pos only) | Pos7(4): 0.76μm Au (30μ"") | Pos8(6): Fixed 4-40 front screwlock"
4T11,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(1): Flash | Pos8(1): 4-40 rear insert
4T12,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(1): Flash | Pos8(2): M3 rear insert
4T13,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(1): Flash | Pos8(3): M3 front screwlock
4T14,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(1): Flash | Pos8(4): Fixed M3 front screwlock
4T15,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(1): Flash | Pos8(5): 4-40 front screwlock
4T16,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(1): Flash | Pos8(6): Fixed 4-40 front screwlock
4T21,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(2): 0.4μm Au (15μ"") | Pos8(1): 4-40 rear insert"
4T22,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(2): 0.4μm Au (15μ"") | Pos8(2): M3 rear insert"
4T23,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(2): 0.4μm Au (15μ"") | Pos8(3): M3 front screwlock"
4T24,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(2): 0.4μm Au (15μ"") | Pos8(4): Fixed M3 front screwlock"
4T25,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(2): 0.4μm Au (15μ"") | Pos8(5): 4-40 front screwlock"
4T26,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(2): 0.4μm Au (15μ"") | Pos8(6): Fixed 4-40 front screwlock"
4T41,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(4): 0.76μm Au (30μ"") | Pos8(1): 4-40 rear insert"
4T42,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(): Fixed value | Pos4(): Fixed value | Pos5(4): 2eFo boardlocks only (PCB = 1.6) | Pos6(T): Tube | Pos7(4): 0.76μm Au (30μ"") | Pos8(2): M3 rear insert"
